Wavelength (nm)	Dark	Wavelength (nm)	Reference	Wavelength (nm)	Sample 1 - 08.11.2019-11:35:13	Wavelength (nm)	Sample 2 - 08.11.2019-11:40:21	Wavelength (nm)	Sample 3 - 08.11.2019-11:45:29
-913.300	10015.000	-913.300	0.000	-913.300	-Inf	-913.300	NaN	-913.300	-Inf
-911.300	9850.000	-911.300	0.000	-911.300	-Inf	-911.300	NaN	-911.300	NaN
-909.300	9884.000	-909.300	0.000	-909.300	NaN	-909.300	NaN	-909.300	NaN
-907.300	9855.000	-907.300	0.000	-907.300	NaN	-907.300	NaN	-907.300	NaN
-905.300	9830.000	-905.300	0.000	-905.300	NaN	-905.300	NaN	-905.300	NaN
-903.300	9890.000	-903.300	0.000	-903.300	-Inf	-903.300	NaN	-903.300	NaN
-901.300	9911.000	-901.300	0.000	-901.300	-Inf	-901.300	NaN	-901.300	NaN
-899.300	9868.000	-899.300	0.000	-899.300	NaN	-899.300	-Inf	-899.300	NaN
-897.200	9878.000	-897.200	0.000	-897.200	-Inf	-897.200	NaN	-897.200	NaN
-895.200	9866.000	-895.200	0.000	-895.200	NaN	-895.200	-Inf	-895.200	NaN
-893.200	9907.000	-893.200	0.000	-893.200	-Inf	-893.200	NaN	-893.200	NaN
-891.200	9938.000	-891.200	0.000	-891.200	-Inf	-891.200	NaN	-891.200	NaN
-889.200	9911.000	-889.200	4.000	-889.200	-0.574	-889.200	NaN	-889.200	NaN
-887.200	9903.000	-887.200	0.000	-887.200	-Inf	-887.200	NaN	-887.200	NaN
-885.200	9949.000	-885.200	0.000	-885.200	NaN	-885.200	NaN	-885.200	NaN
-883.200	9874.000	-883.200	3.000	-883.200	NaN	-883.200	NaN	-883.200	NaN
-881.200	9880.000	-881.200	0.000	-881.200	NaN	-881.200	-Inf	-881.200	NaN
-879.200	9868.000	-879.200	0.000	-879.200	NaN	-879.200	NaN	-879.200	NaN
-877.200	9848.000	-877.200	0.000	-877.200	-Inf	-877.200	NaN	-877.200	NaN
-875.200	9892.000	-875.200	0.000	-875.200	-Inf	-875.200	NaN	-875.200	NaN
-873.200	9871.000	-873.200	0.000	-873.200	-Inf	-873.200	NaN	-873.200	-Inf
-871.200	9931.000	-871.200	0.000	-871.200	NaN	-871.200	-Inf	-871.200	NaN
-869.200	9923.000	-869.200	0.000	-869.200	-Inf	-869.200	-Inf	-869.200	-Inf
-867.100	9881.000	-867.100	0.000	-867.100	NaN	-867.100	NaN	-867.100	NaN
-865.100	9933.000	-865.100	0.000	-865.100	-Inf	-865.100	NaN	-865.100	-Inf
-863.100	9861.000	-863.100	0.000	-863.100	-Inf	-863.100	NaN	-863.100	NaN
-861.100	9930.000	-861.100	0.000	-861.100	-Inf	-861.100	NaN	-861.100	NaN
-859.100	9817.000	-859.100	0.000	-859.100	-Inf	-859.100	NaN	-859.100	NaN
-857.100	9935.000	-857.100	0.000	-857.100	NaN	-857.100	NaN	-857.100	NaN
-855.100	9843.000	-855.100	0.000	-855.100	-Inf	-855.100	NaN	-855.100	NaN
-853.100	9880.000	-853.100	0.000	-853.100	-Inf	-853.100	NaN	-853.100	NaN
-851.100	9867.000	-851.100	0.000	-851.100	-Inf	-851.100	NaN	-851.100	-Inf
-849.100	9898.000	-849.100	0.000	-849.100	NaN	-849.100	NaN	-849.100	NaN
-847.100	9906.000	-847.100	0.000	-847.100	-Inf	-847.100	NaN	-847.100	NaN
-845.100	9882.000	-845.100	0.000	-845.100	-Inf	-845.100	NaN	-845.100	NaN
-843.100	9875.000	-843.100	0.000	-843.100	NaN	-843.100	NaN	-843.100	NaN
-841.100	9847.000	-841.100	0.000	-841.100	-Inf	-841.100	NaN	-841.100	NaN
-839.100	9897.000	-839.100	0.000	-839.100	-Inf	-839.100	-Inf	-839.100	NaN
-837.100	9867.000	-837.100	0.000	-837.100	-Inf	-837.100	NaN	-837.100	-Inf
-835.100	9847.000	-835.100	0.000	-835.100	-Inf	-835.100	NaN	-835.100	NaN
-833.000	9888.000	-833.000	0.000	-833.000	-Inf	-833.000	NaN	-833.000	NaN
-831.000	9908.000	-831.000	0.000	-831.000	-Inf	-831.000	NaN	-831.000	NaN
-829.000	9929.000	-829.000	0.000	-829.000	NaN	-829.000	-Inf	-829.000	NaN
-827.000	9881.000	-827.000	0.000	-827.000	-Inf	-827.000	-Inf	-827.000	-Inf
-825.000	9961.000	-825.000	0.000	-825.000	NaN	-825.000	NaN	-825.000	NaN
-823.000	9819.000	-823.000	0.000	-823.000	-Inf	-823.000	NaN	-823.000	NaN
-821.000	9957.000	-821.000	0.000	-821.000	NaN	-821.000	NaN	-821.000	NaN
